,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
156,399001.SZ,20200421,10506.8566,10577.7187,10577.7187,10394.4398,10621.4968,-114.6402,-1.0793,359333291.0,400623067.9
157,399001.SZ,20200420,10621.4968,10553.5476,10621.4968,10523.5916,10527.9907,93.5061,0.8882,340156237.0,383529246.1
158,399001.SZ,20200417,10527.9907,10562.8976,10624.5417,10507.8024,10470.7936,57.1971,0.5463,401492379.0,460267368.5
159,399001.SZ,20200416,10470.7936,10361.7653,10489.1342,10346.1096,10417.3744,53.4192,0.5128,348703809.0,372555755.3
160,399001.SZ,20200415,10417.3744,10468.4629,10528.7349,10404.5092,10475.7052,-58.3308,-0.5568,379199306.0,409439234.9
161,399001.SZ,20200414,10475.7052,10300.9622,10475.7052,10276.365,10223.1633,252.5419,2.4703,329838757.0,365721826.4
162,399001.SZ,20200413,10223.1633,10225.5297,10295.1687,10173.1226,10298.4127,-75.2494,-0.7307,298034337.0,314914999.7
163,399001.SZ,20200410,10298.4127,10459.6992,10509.0039,10265.884,10463.0463,-164.6336,-1.5735,394773436.0,425685347.6
164,399001.SZ,20200409,10463.0463,10453.8559,10485.2968,10401.1705,10386.5453,76.501,0.7365,377418831.0,405778525.2
165,399001.SZ,20200408,10386.5453,10372.7625,10426.4015,10344.4419,10428.9132,-42.3679,-0.4063,396877234.0,420856344.1
166,399001.SZ,20200407,10428.9132,10312.7148,10441.7414,10296.7194,10110.1129,318.8003,3.1533,401858318.0,445455425.3
167,399001.SZ,20200403,10110.1129,10155.5629,10212.9087,10069.644,10179.2045,-69.0916,-0.6788,320031270.0,358276718.5
168,399001.SZ,20200402,10179.2045,9910.3773,10179.2045,9896.6464,9951.8367,227.3678,2.2847,328200761.0,364617023.2
169,399001.SZ,20200401,9951.8367,9967.1158,10127.097,9927.9208,9962.3047,-10.468,-0.1051,333079525.0,359216781.5
170,399001.SZ,20200331,9962.3047,10008.0257,10047.9784,9925.6798,9904.9511,57.3536,0.579,315348323.0,337468972.4
